Player,Total Points,G+A,Creativity,Influence,Threat,Minutes,Position
Kane,136,18,482.9,721.2,1257,2421,FWD
Ronaldo,117,15,332.1,574.2,1251,1914,FWD
Antonio,114,16,543,536.2,1053,2486,FWD
Dennis,115,15,358.6,562,834,2174,FWD
Toney,109,13,379.3,589,930,2188,FWD
Jimenez,87,10,406.1,400.8,692,2154,FWD
Saint-Maximin,94,10,526.1,480.4,718,2042,FWD
Watkins,87,9,328.4,414.8,946,2163,FWD
Lacazette,81,12,366.5,372,703,1523,FWD
Vardy,92,12,197.7,408.8,558,1398,FWD
Lukaku,63,6,202.8,248.6,503,1208,FWD
Maupay,94,11,322.3,363.4,641,2042,FWD
Pukki,104,10,247.8,380,771,2445,FWD
Jesus,72,9,381,297,711,1333,FWD
Salah,222,31,721,1055.8,1844,2259,MID
Saka,138,15,712.3,598.2,1023,138,MID
Coutinho,59,7,202.4,258.4,271,773,MID
Son,165,20,769.7,748,925,2243,MID
Bissouma,39,1,134,134,298.6,1632,MID
Raphinha,112,12,783.8,632.4,744,2248,MID
Bernado,131,13,735.7,604.2,851,2407,MID
Fernandes,129,15,1069.5,739.8,654,2307,MID
Mount,123,16,660.4,595,663,1662,MID
Gallagher,123,14,549.2,631,572,2199,MID
Benrahma,113,12,369.5,463.6,539,1791,MID
Ramsey,95,7,1928,259.9,481.8,339,MID
Maddison,118,14,428,497,539,1715,MID
Ward-Prowse,111,10,929.7,710,294,2405,MID
Alexander-Arnold,187,13,1216.9,727,408,2313,DEF
Cancelo,162,9,592.2,626.2,605,2417,DEF
Rudiger,119,5,214.9,450.4,354,2340,DEF
Coady,123,3,23.9,584.6,165,2686,DEF
White,103,0,160.3,495.4,144,2350,DEF
Reguilon,96,6,457.2,449.6,343,1755,DEF
Shaw,46,3,555.9,286.8,54,1555,DEF
Livramento,76,3,307.7,414.8,207,1994,DEF
Guehi,90,2,62.3,555.6,208,2520,DEF
Cash,120,6,360.3,581.8,355,2567,DEF
Cucurella,83,1,532.3,454.4,127,2279,DEF
Cresswell,93,5,480.1,438.4,119,2006,DEF
Jansson,87,5,54.5,579.6,343,2691,DEF
